"","modGenes","module","colourRGB"
"8632","AGAP011661","blue","#0000FF"
"8633","AGAP011664","darkorange2","#EE7600"
"8634","AGAP011666","blue","#0000FF"
"8635","AGAP011667","blue","#0000FF"
"8636","AGAP011670","blue","#0000FF"
"8637","AGAP011673","lightcyan1","#E0FFFF"
"8638","AGAP011674","lightcyan1","#E0FFFF"
"8639","AGAP011675","orangered4","#8B2500"
"8640","AGAP011676","honeydew1","#F0FFF0"
"8641","AGAP011677","orangered4","#8B2500"
"8642","AGAP011678","blue","#0000FF"
"8643","AGAP011679","lightgreen","#90EE90"
"8644","AGAP011680","black","#000000"
"8645","AGAP011681","blue","#0000FF"
"8646","AGAP011684","blue","#0000FF"
"8647","AGAP011685","blue","#0000FF"
"8648","AGAP011686","blue","#0000FF"
"8649","AGAP011688","lightyellow","#FFFFE0"
"8650","AGAP011689","orangered4","#8B2500"
"8651","AGAP011690","darkorange2","#EE7600"
"8652","AGAP011693","honeydew1","#F0FFF0"
"8653","AGAP011694","orangered4","#8B2500"
"8654","AGAP011695","cyan","#00FFFF"
"8655","AGAP011696","blue","#0000FF"
"8656","AGAP011697","honeydew1","#F0FFF0"
"8657","AGAP011698","orangered4","#8B2500"
"8658","AGAP011701","blue","#0000FF"
"8659","AGAP011702","blue","#0000FF"
"8660","AGAP011704","honeydew1","#F0FFF0"
"8661","AGAP011705","blue","#0000FF"
"8662","AGAP011707","coral2","#EE6A50"
"8663","AGAP011708","blue","#0000FF"
"8664","AGAP011711","lightyellow","#FFFFE0"
"8665","AGAP011712","blue","#0000FF"
"8666","AGAP011713","blue","#0000FF"
"8667","AGAP011717","honeydew1","#F0FFF0"
"8668","AGAP011719","cyan","#00FFFF"
"8669","AGAP011720","lightgreen","#90EE90"
"8670","AGAP011721","blue","#0000FF"
"8671","AGAP011723","blue","#0000FF"
"8672","AGAP011724","blue","#0000FF"
"8673","AGAP011727","mediumpurple3","#8968CD"
"8674","AGAP011729","blue","#0000FF"
"8675","AGAP011730","blue","#0000FF"
"8676","AGAP011731","darkred","#8B0000"
"8677","AGAP011732","blue","#0000FF"
"8678","AGAP011733","orangered4","#8B2500"
"8679","AGAP011734","grey","#BEBEBE"
"8680","AGAP011735","lightgreen","#90EE90"
"8681","AGAP011736","black","#000000"
"8682","AGAP011739","lightyellow","#FFFFE0"
"8683","AGAP011740","grey","#BEBEBE"
"8684","AGAP011743","black","#000000"
"8685","AGAP011745","blue","#0000FF"
"8686","AGAP011746","honeydew1","#F0FFF0"
"8687","AGAP011749","darkred","#8B0000"
"8688","AGAP011750","blue","#0000FF"
"8689","AGAP011751","blue","#0000FF"
"8690","AGAP011753","honeydew1","#F0FFF0"
"8691","AGAP011756","blue","#0000FF"
"8692","AGAP011757","blue","#0000FF"
"8693","AGAP011758","orangered4","#8B2500"
"8694","AGAP011759","darkorange","#FF8C00"
"8695","AGAP011760","orangered4","#8B2500"
"8696","AGAP011761","honeydew1","#F0FFF0"
"8697","AGAP011762","honeydew1","#F0FFF0"
"8698","AGAP011763","blue","#0000FF"
"8699","AGAP011764","blue","#0000FF"
"8700","AGAP011765","darkred","#8B0000"
"8701","AGAP011766","blue","#0000FF"
"8702","AGAP011767","blue","#0000FF"
"8703","AGAP011768","blue","#0000FF"
"8704","AGAP011769","blue","#0000FF"
"8705","AGAP011770","blue","#0000FF"
"8706","AGAP011771","mediumpurple3","#8968CD"
"8707","AGAP011772","orangered4","#8B2500"
"8708","AGAP011773","grey","#BEBEBE"
"8709","AGAP011774","blue","#0000FF"
"8710","AGAP011775","blue","#0000FF"
"8711","AGAP011776","blue","#0000FF"
"8712","AGAP011778","blue","#0000FF"
"8713","AGAP011779","blue","#0000FF"
"8714","AGAP011780","blue","#0000FF"
"8715","AGAP011781","blue","#0000FF"
"8716","AGAP011782","blue","#0000FF"
"8717","AGAP011783","coral2","#EE6A50"
"8718","AGAP011784","orangered4","#8B2500"
"8719","AGAP011785","blue","#0000FF"
"8720","AGAP011786","coral1","#FF7256"
"8721","AGAP011787","blue","#0000FF"
"8722","AGAP011788","blue","#0000FF"
"8723","AGAP011789","blue","#0000FF"
"8724","AGAP011790","blue","#0000FF"
"8725","AGAP011791","blue","#0000FF"
"8726","AGAP011792","blue","#0000FF"
"8727","AGAP011794","cyan","#00FFFF"
"8728","AGAP011795","honeydew1","#F0FFF0"
"8729","AGAP011796","blue","#0000FF"
"8730","AGAP011797","honeydew1","#F0FFF0"
"8731","AGAP011799","blue","#0000FF"
"8732","AGAP011800","orangered4","#8B2500"
"8733","AGAP011801","darkred","#8B0000"
"8734","AGAP011805","blue","#0000FF"
"8735","AGAP011806","blue","#0000FF"
"8736","AGAP011807","blue","#0000FF"
"8737","AGAP011808","saddlebrown","#8B4513"
"8738","AGAP011809","darkorange2","#EE7600"
"8739","AGAP011810","blue","#0000FF"
"8740","AGAP011811","darkorange2","#EE7600"
"8741","AGAP011812","blue","#0000FF"
"8742","AGAP011814","orangered4","#8B2500"
"8743","AGAP011815","orangered4","#8B2500"
"8744","AGAP011816","blue","#0000FF"
"8745","AGAP011817","orangered4","#8B2500"
"8746","AGAP011818","blue","#0000FF"
"8747","AGAP011819","blue","#0000FF"
"8748","AGAP011820","bisque4","#8B7D6B"
"8749","AGAP011822","blue","#0000FF"
"8750","AGAP011823","blue","#0000FF"
"8751","AGAP011824","black","#000000"
"8752","AGAP011825","mediumpurple3","#8968CD"
"8753","AGAP011826","lightpink4","#8B5F65"
"8754","AGAP011827","orangered4","#8B2500"
"8755","AGAP011828","honeydew1","#F0FFF0"
"8756","AGAP011829","lightyellow","#FFFFE0"
"8757","AGAP011830","orangered4","#8B2500"
"8758","AGAP011831","black","#000000"
"8759","AGAP011832","orangered4","#8B2500"
"8760","AGAP011833","blue","#0000FF"
"8761","AGAP011834","blue","#0000FF"
"8762","AGAP011835","blue","#0000FF"
"8763","AGAP011836","blue","#0000FF"
"8764","AGAP011838","blue","#0000FF"
"8765","AGAP011839","darkred","#8B0000"
"8766","AGAP011842","blue","#0000FF"
"8767","AGAP011843","blue","#0000FF"
"8768","AGAP011844","blue","#0000FF"
"8769","AGAP011845","honeydew1","#F0FFF0"
"8770","AGAP011846","blue","#0000FF"
"8771","AGAP011847","grey","#BEBEBE"
"8772","AGAP011849","blue","#0000FF"
"8773","AGAP011850","blue","#0000FF"
"8774","AGAP011852","black","#000000"
"8775","AGAP011858","honeydew1","#F0FFF0"
"8776","AGAP011859","blue","#0000FF"
"8777","AGAP011870","darkred","#8B0000"
"8778","AGAP011871","blue","#0000FF"
"8779","AGAP011872","blue","#0000FF"
"8780","AGAP011874","grey","#BEBEBE"
"8781","AGAP011875","blue","#0000FF"
"8782","AGAP011876","blue","#0000FF"
"8783","AGAP011877","blue","#0000FF"
"8784","AGAP011878","darkorange2","#EE7600"
"8785","AGAP011879","darkorange2","#EE7600"
"8786","AGAP011880","orangered4","#8B2500"
"8787","AGAP011881","blue","#0000FF"
"8788","AGAP011883","blue","#0000FF"
"8789","AGAP011884","grey","#BEBEBE"
"8790","AGAP011887","honeydew1","#F0FFF0"
"8791","AGAP011888","blue","#0000FF"
"8792","AGAP011889","grey","#BEBEBE"
"8793","AGAP011892","darkred","#8B0000"
"8794","AGAP011893","honeydew1","#F0FFF0"
"8795","AGAP011895","lightyellow","#FFFFE0"
"8796","AGAP011897","honeydew1","#F0FFF0"
"8797","AGAP011898","lightyellow","#FFFFE0"
"8798","AGAP011899","grey","#BEBEBE"
"8799","AGAP011900","blue","#0000FF"
"8800","AGAP011904","orangered4","#8B2500"
"8801","AGAP011905","lightyellow","#FFFFE0"
"8802","AGAP011906","orangered4","#8B2500"
"8803","AGAP011907","orangered4","#8B2500"
"8804","AGAP011908","grey","#BEBEBE"
"8805","AGAP011909","blue","#0000FF"
"8806","AGAP011911","blue","#0000FF"
"8807","AGAP011912","cyan","#00FFFF"
"8808","AGAP011913","grey","#BEBEBE"
"8809","AGAP011914","black","#000000"
"8810","AGAP011916","lightgreen","#90EE90"
"8811","AGAP011922","blue","#0000FF"
"8812","AGAP011923","lightcyan1","#E0FFFF"
"8813","AGAP011924","plum1","#FFBBFF"
"8814","AGAP011925","black","#000000"
"8815","AGAP011927","ivory","#FFFFF0"
"8816","AGAP011929","darkorange2","#EE7600"
"8817","AGAP011930","darkorange2","#EE7600"
"8818","AGAP011932","darkred","#8B0000"
"8819","AGAP011933","honeydew1","#F0FFF0"
"8820","AGAP011935","lightgreen","#90EE90"
"8821","AGAP011936","blue","#0000FF"
"8822","AGAP011937","darkorange2","#EE7600"
"8823","AGAP011938","blue","#0000FF"
"8824","AGAP011939","blue","#0000FF"
"8825","AGAP011940","blue","#0000FF"
"8826","AGAP011943","lightyellow","#FFFFE0"
"8827","AGAP011944","blue","#0000FF"
"8828","AGAP011945","black","#000000"
"8829","AGAP011947","darkorange2","#EE7600"
"8830","AGAP011948","blue","#0000FF"
"8831","AGAP011949","honeydew1","#F0FFF0"
"8832","AGAP011950","honeydew1","#F0FFF0"
"8833","AGAP011952","blue","#0000FF"
"8834","AGAP011954","mediumpurple3","#8968CD"
"8835","AGAP011956","black","#000000"
"8836","AGAP011957","lightgreen","#90EE90"
"8837","AGAP011958","orangered4","#8B2500"
"8838","AGAP011959","blue","#0000FF"
