"","modGenes","module","colourRGB"
"6208","AARA009362","black","#000000"
"6209","AARA009363","orange","#FFA500"
"6210","AARA009364","salmon","#FA8072"
"6211","AARA009365","grey","#BEBEBE"
"6212","AARA009366","brown","#A52A2A"
"6213","AARA009369","midnightblue","#191970"
"6214","AARA009370","orange","#FFA500"
"6215","AARA009371","salmon","#FA8072"
"6216","AARA009374","brown","#A52A2A"
"6217","AARA009375","salmon","#FA8072"
"6218","AARA009377","darkorange","#FF8C00"
"6219","AARA009378","salmon","#FA8072"
"6220","AARA009379","midnightblue","#191970"
"6221","AARA009383","salmon","#FA8072"
"6222","AARA009384","salmon","#FA8072"
"6223","AARA009385","orange","#FFA500"
"6224","AARA009386","salmon","#FA8072"
"6225","AARA009388","orangered4","#8B2500"
"6226","AARA009390","orange","#FFA500"
"6227","AARA009391","grey","#BEBEBE"
"6228","AARA009392","salmon","#FA8072"
"6229","AARA009393","brown","#A52A2A"
"6230","AARA009394","salmon","#FA8072"
"6231","AARA009395","brown","#A52A2A"
"6232","AARA009396","orange","#FFA500"
"6233","AARA009400","salmon","#FA8072"
"6234","AARA009401","mediumpurple3","#8968CD"
"6235","AARA009404","salmon","#FA8072"
"6236","AARA009405","midnightblue","#191970"
"6237","AARA009406","salmon","#FA8072"
"6238","AARA009409","grey","#BEBEBE"
"6239","AARA009410","salmon","#FA8072"
"6240","AARA009412","purple","#A020F0"
"6241","AARA009417","darkmagenta","#8B008B"
"6242","AARA009418","purple","#A020F0"
"6243","AARA009419","salmon","#FA8072"
"6244","AARA009420","grey","#BEBEBE"
"6245","AARA009421","salmon","#FA8072"
"6246","AARA009422","salmon","#FA8072"
"6247","AARA009423","brown","#A52A2A"
"6248","AARA009424","orange","#FFA500"
"6249","AARA009425","grey","#BEBEBE"
"6250","AARA009426","grey","#BEBEBE"
"6251","AARA009427","salmon","#FA8072"
"6252","AARA009428","midnightblue","#191970"
"6253","AARA009430","brown","#A52A2A"
"6254","AARA009431","salmon","#FA8072"
"6255","AARA009432","salmon","#FA8072"
"6256","AARA009434","salmon","#FA8072"
"6257","AARA009435","grey","#BEBEBE"
"6258","AARA009441","grey","#BEBEBE"
"6259","AARA009442","orange","#FFA500"
"6260","AARA009443","grey","#BEBEBE"
"6261","AARA009444","grey","#BEBEBE"
"6262","AARA009447","salmon","#FA8072"
"6263","AARA009448","orange","#FFA500"
"6264","AARA009449","purple","#A020F0"
"6265","AARA009450","salmon","#FA8072"
"6266","AARA009453","black","#000000"
"6267","AARA009454","mediumpurple3","#8968CD"
"6268","AARA009455","midnightblue","#191970"
"6269","AARA009456","purple","#A020F0"
"6270","AARA009457","grey","#BEBEBE"
"6271","AARA009458","greenyellow","#ADFF2F"
"6272","AARA009459","purple","#A020F0"
"6273","AARA009460","salmon","#FA8072"
"6274","AARA009461","salmon","#FA8072"
"6275","AARA009462","salmon","#FA8072"
"6276","AARA009463","grey","#BEBEBE"
"6277","AARA009464","grey","#BEBEBE"
"6278","AARA009465","salmon","#FA8072"
"6279","AARA009466","salmon","#FA8072"
"6280","AARA009467","brown","#A52A2A"
"6281","AARA009468","salmon","#FA8072"
"6282","AARA009470","orange","#FFA500"
"6283","AARA009471","orange","#FFA500"
"6284","AARA009472","grey","#BEBEBE"
"6285","AARA009473","orange","#FFA500"
"6286","AARA009474","purple","#A020F0"
"6287","AARA009475","ivory","#FFFFF0"
"6288","AARA009476","grey","#BEBEBE"
"6289","AARA009478","brown","#A52A2A"
"6290","AARA009479","salmon","#FA8072"
"6291","AARA009480","grey","#BEBEBE"
"6292","AARA009481","salmon","#FA8072"
"6293","AARA009482","grey","#BEBEBE"
"6294","AARA009487","salmon","#FA8072"
"6295","AARA009488","midnightblue","#191970"
"6296","AARA009493","midnightblue","#191970"
"6297","AARA009494","brown","#A52A2A"
"6298","AARA009495","bisque4","#8B7D6B"
"6299","AARA009496","brown","#A52A2A"
"6300","AARA009497","salmon","#FA8072"
"6301","AARA009498","salmon","#FA8072"
"6302","AARA009499","salmon","#FA8072"
"6303","AARA009500","grey","#BEBEBE"
"6304","AARA009501","orange","#FFA500"
"6305","AARA009502","darkolivegreen","#556B2F"
"6306","AARA009504","salmon","#FA8072"
"6307","AARA009505","salmon","#FA8072"
"6308","AARA009506","salmon","#FA8072"
"6309","AARA009507","purple","#A020F0"
"6310","AARA009508","salmon","#FA8072"
"6311","AARA009509","purple","#A020F0"
"6312","AARA009510","grey","#BEBEBE"
"6313","AARA009511","midnightblue","#191970"
"6314","AARA009512","orange","#FFA500"
"6315","AARA009513","brown","#A52A2A"
"6316","AARA009514","salmon","#FA8072"
"6317","AARA009515","salmon","#FA8072"
"6318","AARA009523","purple","#A020F0"
"6319","AARA009525","salmon","#FA8072"
"6320","AARA009526","salmon","#FA8072"
"6321","AARA009527","grey","#BEBEBE"
"6322","AARA009528","orange","#FFA500"
"6323","AARA009529","darkolivegreen","#556B2F"
"6324","AARA009530","salmon","#FA8072"
"6325","AARA009531","salmon","#FA8072"
"6326","AARA009532","purple","#A020F0"
"6327","AARA009533","brown","#A52A2A"
"6328","AARA009534","grey","#BEBEBE"
"6329","AARA009535","salmon","#FA8072"
"6330","AARA009536","brown","#A52A2A"
"6331","AARA009538","purple","#A020F0"
"6332","AARA009540","grey","#BEBEBE"
"6333","AARA009541","midnightblue","#191970"
"6334","AARA009548","salmon","#FA8072"
"6335","AARA009549","grey","#BEBEBE"
"6336","AARA009550","purple","#A020F0"
"6337","AARA009551","grey","#BEBEBE"
"6338","AARA009553","salmon","#FA8072"
"6339","AARA009554","brown","#A52A2A"
